Temps (s),Altitude (km)
1528.55,89.827
1529.55,89.765
1530.55,89.704
1531.55,89.642
1532.55,89.579
1533.55,89.517
1534.55,89.454
1535.55,89.392
1536.55,89.329
1537.55,89.265
1538.55,89.202
1539.55,89.138
1540.55,89.074
1541.55,89.01
1542.55,88.946
1543.55,88.881
1544.55,88.816
1545.55,88.751
1546.55,88.686
1547.55,88.62
1548.55,88.554
1549.55,88.488
1550.55,88.422
1551.55,88.356
1552.55,88.289
1553.55,88.222
1554.55,88.155
1555.55,88.087
1556.55,88.019
1557.55,87.951
1558.55,87.883
1559.55,87.815
1560.55,87.746
1561.55,87.677
1562.55,87.608
1563.55,87.538
1564.55,87.468
1565.55,87.398
1566.55,87.328
1567.55,87.257
1568.55,87.186
1569.55,87.115
1570.55,87.044
1571.55,86.972
1572.55,86.9
1573.55,86.828
1574.55,86.756
1575.55,86.683
1576.55,86.61
1577.55,86.536
1578.55,86.463
1579.55,86.389
1580.55,86.315
1581.55,86.24
1582.55,86.165
1583.55,86.09
1584.55,86.015
1585.55,85.939
1586.55,85.863
1587.55,85.787
1588.55,85.711
1589.55,85.634
1590.55,85.556
1591.55,85.479
1592.55,85.401
1593.55,85.323
1594.55,85.245
1595.55,85.166
1596.55,85.087
1597.55,85.007
1598.55,84.928
1599.55,84.847
1600.55,84.767
1601.55,84.686
1602.55,84.605
1603.55,84.524
1604.55,84.442
1605.55,84.36
1606.55,84.278
1607.55,84.195
1608.55,84.112
1609.55,84.028
1610.55,83.945
1611.55,83.86
1612.55,83.776
1613.55,83.691
1614.55,83.606
1615.55,83.52
1616.55,83.434
1617.55,83.348
1618.55,83.261
1619.55,83.174
1620.55,83.086
1621.55,82.998
1622.55,82.91
1623.55,82.822
1624.55,82.733
1625.55,82.643
1626.55,82.553
1627.55,82.463
1628.55,82.372
1629.55,82.281
1630.55,82.19
1631.55,82.098
1632.55,82.006
1633.55,81.913
1634.55,81.82
1635.55,81.726
1636.55,81.632
1637.55,81.538
1638.55,81.443
1639.55,81.348
1640.55,81.252
1641.55,81.156
1642.55,81.059
1643.55,80.962
1644.55,80.865
1645.55,80.767
1646.55,80.668
1647.55,80.57
1648.55,80.47
1649.55,80.37
1650.55,80.27
1651.55,80.169
1652.55,80.068
